name,long,lat,group_link,chat_id
Aljunied,103.889546235205,1.35465808310012,not_created,NA
Anchorvale,103.886665684716,1.39712791773438,not_created,NA
Ang Mo Kio,103.840668130336,1.36683348076669,not_created,NA
Ayer Rajah,103.747540191939,1.3207993044286,not_created,NA
Bedok,103.936047838803,1.32424659842593,not_created,NA
Bishan,103.850509275687,1.34951161831951,not_created,NA
Marymount,103.8412861742,1.36213756796576,not_created,NA
Boon Lay,103.711380186479,1.34832322532679,not_created,NA
Braddell Heights,103.8703678757,1.35161224552733,not_created,NA
Bukit Batok,103.747514398535,1.35019080604781,not_created,NA
Bukit Batok East,103.758195830417,1.34898738780681,not_created,NA
Bukit Merah,103.815828543116,1.28525426592061,not_created,NA
Bukit Panjang,103.77055880601,1.37645074924612,not_created,NA
Bukit Timah,103.771609614654,1.34050085979547,not_created,NA
Buona Vista,103.792619417011,1.30925871460611,not_created,NA
Canberra,103.819473739147,1.44504412683036,not_created,NA
